Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-05,2,MT,0.8606693146,0.7960457705,0.9821225066,1.315667096,1.446535886,0.7714975189,1.248730742,0.9687642677,1.074034152,1.119978235,0.8207943225,0.882647051,0.8059246219,0.875769693,0.9771629371,0.8944940277,0.7838967338,0.9458257992,0.7684206724,0.6835034303,0.7174039149,0.8150006418,0.8916433618,1.035575784,0.9002237253,0.7752324941,0.838626521,0.8529861745,0.837559818,0.870397719,1.009322741,0.8292289984,0.6230682999,0.5539393891,0.7482446294,0.9696544845,1.083217931,0.9857299685,0.9205566938,0.8371933654,0.8207357554,0.7833763291,0.6662772468,0.8140389008,0.7811179103,0.874699247,0.8680814798,0.7296300625,0.8977985377,0.94875213,0.7847912323,0.8849391672,0.8019629301,0.9204371757,0.8864417703,0.7367222056,0.9338601034,0.7616878122,0.8860847455,0.7591807375
Sub-06,2,MT,0.8805180142,0.8133213136,0.9946768762,1.373773106,1.48858927,0.8016288522,1.342305331,1.037933032,1.135609135,1.240926783,0.7545133785,0.8863741682,0.779074857,0.8570991704,0.9200391649,1.079139351,0.8719874104,1.005463288,0.8123650229,0.8698184018,0.616353687,0.889574026,0.976395321,0.9627044574,0.976931289,0.6590457755,0.7157628689,0.9429662431,0.9336406724,0.8788189718,0.9213062368,0.9650313794,1.131002775,1.005115692,0.9460466514,0.9099685514,0.9990994495,0.6764868585,0.9046790716,0.8857270743,0.9955085813,0.9605156537,0.7828390143,0.8600013457,1.066062207,0.9136929375,0.7803568736,0.8953065867,0.9300933444,1.077288762,0.7752653982,0.9112757104,1.046485242,0.816812704,1.095040654,0.8380430164,0.8397825524,0.7375643616,0.8320038074,1.029947839
Sub-01,3,MT,0.8789888105,0.8343041516,0.9867726343,1.330308824,1.475202253,0.7973411688,1.309178193,1.040233753,1.191960452,1.231169591,0.8301134807,0.8475548096,0.7430076478,0.943096359,0.9228974784,0.9603375456,0.8426834293,0.9093503527,0.7652488043,0.8597244704,0.7876554488,0.9400700751,0.9487472975,1.051778902,0.939426426,0.8852885985,0.9383877202,0.8620517646,0.9198901664,0.9457442526,0.9797333005,0.9675938307,0.7963171396,0.8953100737,0.9533638378,0.9379791414,1.080409902,1.064451912,0.9598474785,1.092599469,0.9548407647,0.921811799,0.8372720673,0.814859382,0.9526350227,0.8608622502,0.9403176605,0.7876913207,1.03878448,0.8552279736,0.8957455769,0.9825277933,1.026343706,0.9444852146,0.9791857561,0.8998726422,0.9185376446,0.7302544951,0.9343147669,0.8584382365
Sub-02,3,MT,1.222533823,0.8772128424,0.9676799612,1.347842178,1.486090453,0.8588384781,1.377016978,1.084891886,1.249511339,1.171406037,0.6469751011,0.8455806929,0.712970654,1.030786083,0.8380790453,1.019149451,0.7189798528,0.7872478865,0.6194259685,0.7984193743,0.916031824,0.9029817117,0.9136919748,0.9259306162,0.8849959215,0.8724004595,0.9615738422,0.8646381933,0.8696002489,0.8979881865,0.8763008962,1.144419026,0.9097021441,0.950429484,0.8588980563,0.9014066904,0.7607437125,1.060594071,0.7808827897,0.9496358995,0.9042332539,0.8593676929,0.7570571312,0.7755475468,0.866096136,0.8046494614,0.968398064,0.9294267039,0.9432835628,1.006597145,0.9312307211,0.9008298812,0.927608147,0.8051976772,0.8335067382,0.764244873,0.8037545723,0.6940190844,0.7491847678,0.7580961969
Sub-03,3,MT,0.9067392734,0.785068427,0.8113078648,1.316892405,1.430462918,0.7478635463,1.316630742,1.00932122,1.074399598,1.134077157,0.4544416936,0.8008378972,0.6744096982,0.8624432133,0.8501239023,0.963383366,0.7714378122,0.860923041,0.7606991515,0.892912471,0.6391433492,0.915394352,0.7897751545,0.94933469,0.9276339301,0.9002619067,0.8344464361,0.9246604792,0.8528160626,0.8783748789,0.8689447105,0.8697806616,0.9856057644,0.8472540419,0.8083976855,0.9054333878,0.9234724083,0.9869155934,0.8339739773,0.8427934605,0.8284867276,0.8310618549,0.7927021894,0.6423582352,0.9209304144,0.8103115746,0.8045582763,0.9915138152,0.9327943922,0.8637427388,0.7114948927,0.8371152332,0.8374310886,0.854834677,0.778612146,0.8141651329,0.8158210372,0.7383442264,0.8212393306,0.8907563456
Sub-04,3,MT,0.9445476814,0.8699570396,0.9854527676,1.46188465,1.561304734,0.8127872399,1.344520468,1.029684303,1.184484923,1.285354301,0.9202569724,0.9312380788,0.7939879424,0.9600105108,1.04059679,1.020807815,0.8822787068,0.9271034106,0.8676342444,0.8356263934,0.9412454933,0.9634149197,1.016165089,1.172041787,1.014879664,1.023486301,0.9795930188,1.018478242,0.9947760425,1.060469924,1.158434833,1.018105473,1.07394939,0.9723484157,0.978656716,1.012385712,1.21781742,1.073839955,0.9500562975,1.018519816,1.041103452,1.040189898,0.9866745297,0.8772260046,0.8617049254,1.005455004,0.924979455,0.7861664655,1.126351551,1.001274233,0.9441766404,1.039722258,0.956748027,1.047787772,1.095222327,1.011446844,0.8510835731,0.8192220648,0.946515376,0.8586204048
Sub-05,3,MT,0.8912910345,0.8361307513,1.014918726,1.318179195,1.468503003,0.7844439266,1.335784899,1.020250058,1.124761887,1.17332888,0.9022876773,0.9098154349,0.8378791956,0.8858811592,0.9575631551,0.9036664842,0.8115046513,0.9486547149,0.7880461015,0.7149759562,0.6957417918,0.8129704396,0.9327938281,1.045398126,0.9130324042,0.7810116428,0.8703635996,0.8745296195,0.8437095968,0.891863988,1.009008558,0.8765081028,0.6455053691,0.575402538,0.7763556174,0.9582196356,1.083931282,1.01114071,0.9319711817,0.8463758824,0.8124953936,0.7696890815,0.6753792584,0.8086267354,0.792021633,0.8863874122,0.9045241049,0.7491522892,0.9181619088,0.9560497074,0.8580600948,0.9045505335,0.8342405641,0.913412819,0.8925410107,0.7272967975,0.9151513985,0.7879507526,0.8992199418,0.7625140807
Sub-06,3,MT,0.886901396,0.7826224358,1.010082313,1.367707786,1.49902504,0.8091205544,1.35379031,1.03773899,1.183609306,1.264752105,0.6955238761,0.8709648512,0.7817405605,0.8561260079,0.9408285872,1.086078616,0.8517589313,1.013242494,0.7843443018,0.8474956332,0.602400282,0.905825584,0.9903153308,0.9580837583,0.9715660227,0.660843374,0.6919202374,0.9844770602,0.9340695144,0.909478713,0.9310061825,0.9631301121,1.172753457,1.023907591,0.9358171394,0.9120981122,0.9742253035,0.6764119441,0.9213372485,0.9145672496,1.06434219,0.9801518153,0.7823468915,0.8779813847,1.061540147,0.9461872473,0.7611212787,0.8975655449,0.9293313093,1.076634976,0.8379001088,0.9222402587,1.043211174,0.8462979338,1.122939403,0.870722703,0.8438586231,0.7278002398,0.8658653335,1.029499538
Sub-01,1,PD,79.09834777,79.65594577,80.12954887,70.51067969,71.85601049,80.08838847,74.39377482,78.19928478,77.08103294,71.97965308,77.3449462,81.13374079,80.94272771,72.72774803,74.80551334,77.88709537,79.47406791,78.46898502,77.38043822,78.91658206,79.41509021,82.50013766,82.16044718,75.30767782,79.93282889,78.62199597,76.83838345,80.99691454,78.19484548,77.58109313,74.96463156,79.10229434,79.51991615,79.3302893,78.56808595,75.78764265,76.16095923,77.99011837,77.56851308,76.24183018,78.84702893,78.44002145,80.46093299,81.43884955,78.25438695,78.31982807,76.89267042,79.74863349,77.30455012,78.70433952,83.43468588,78.02214813,78.57574089,75.10850387,78.02409504,78.41908512,74.94949618,74.30264474,77.72754683,79.57819271
Sub-02,1,PD,76.09993944,80.71410338,82.63399714,71.76734012,73.21553659,82.07701804,75.64220593,79.91666949,77.83571367,74.004115,86.53036026,83.35478241,82.66995589,78.53816465,75.25582931,77.67651034,81.49165124,79.44809014,79.20653955,79.703943,83.0509625,80.47212485,81.46723881,72.44658963,76.6554515,79.43860237,70.62993264,81.99662026,79.69651444,78.93457406,71.36715862,84.4926844,78.88247383,79.72192361,80.41584064,74.41422143,60.79392692,78.59248869,79.96024501,74.08676411,80.96413542,80.25824972,80.77896468,82.85473119,79.85254513,77.99618135,79.51842924,79.31897436,78.05320507,77.59514023,85.80270654,80.21461589,80.58851154,78.6591173,74.99810081,79.38716177,79.30386098,75.58286754,79.38119389,81.78692538
Sub-03,1,PD,78.62872438,80.1227699,81.74447662,70.91205526,72.23544095,81.36903996,73.78899464,78.25230401,78.19258682,73.12373228,84.14552858,81.19562311,81.34774073,73.83187282,76.39202955,78.2495938,79.85907104,77.69026475,76.78450109,77.97839251,82.22172864,81.22026912,80.75646589,74.99760179,76.61238435,78.1194575,74.5306162,79.67410716,78.83358816,78.71426783,74.46765027,80.93410741,78.07793309,79.43746801,80.23947677,71.67879775,74.98801822,77.92469805,78.80460355,76.99237066,79.13009891,79.11315864,80.56768411,83.71079308,78.44333337,78.45905196,78.75446278,77.16358702,77.96426085,78.30479648,85.45870303,80.018753,80.95635291,77.29122768,77.5667139,79.2564165,77.41055581,76.69757103,75.79365126,79.31748284
Sub-04,1,PD,79.84554963,80.75668342,80.77176529,70.17260304,71.78636608,81.12892508,74.56458029,79.02745926,78.44965425,72.90844676,77.96539162,81.7280488,81.05117003,78.69324122,76.80999846,77.50623096,81.06083505,78.46111651,78.46062081,80.72161483,80.47383086,81.0495613,81.44348543,77.11514243,79.42887832,79.15538415,77.93284024,80.18114487,79.1203915,77.97246411,76.66342022,86.34619053,77.86189362,79.52274059,79.93555408,77.82394919,81.31070251,78.71760479,78.31380195,78.48745647,78.85263114,78.74205642,77.78990206,82.1418493,81.38593275,78.79879227,79.30735513,81.34166691,77.75187151,78.82099328,86.23092685,79.20808291,80.79918868,75.64390005,78.79057435,78.55460415,79.45815802,79.67874788,77.91561738,81.72256548
Sub-05,1,PD,80.66492225,79.88212427,79.71220561,70.58772863,71.92663553,80.0913388,74.29819308,78.93603901,77.36588822,72.58371684,77.79840778,81.12973877,79.94333452,81.68608898,76.85513056,78.94166214,79.78642841,77.69180782,77.8613321,80.75737186,83.47300092,82.42962523,80.56115727,77.05234572,80.83102671,79.09888039,80.59011183,80.74402945,79.79393986,78.61964572,77.39575979,88.35025859,81.38954811,83.05749889,80.92786909,77.82837042,77.35704745,77.68704558,78.07040639,79.3520719,79.92183401,79.78776832,80.52875914,81.49533879,80.4527975,77.69783557,79.25589143,80.32132092,78.33389353,77.42667288,84.58040979,78.75993558,80.8588906,76.9668384,78.53379995,80.11233865,78.25346269,79.06102108,78.88898104,80.84363582
Sub-06,1,PD,78.69390043,79.76540297,79.95084374,70.14217836,71.81788937,79.61265615,74.59567922,79.34194548,77.0517439,72.10266538,79.09530194,80.91761099,80.5733445,65.31139216,72.85750259,75.54810127,79.55041678,76.36250156,77.31800243,78.84278098,78.2199562,81.34788041,80.69612083,75.75140565,79.97669905,80.62701866,63.38340605,80.46996828,78.88646466,77.70851548,77.58983329,78.64132479,77.02010161,78.8593372,78.49256936,75.28224722,72.2900428,80.40688701,77.82013809,75.1501874,78.99025939,77.92450021,80.89406946,81.12936742,77.22590176,75.42960127,75.45015134,78.64715824,77.68911297,76.79692448,85.64150965,78.88391936,78.70583435,71.83229604,78.77579422,79.40240453,73.98068417,78.44732922,74.8796868,77.63368751
Sub-01,2,PD,78.96702958,78.96367319,80.08643558,70.29472188,71.83494972,79.97681135,74.22325098,78.08770688,77.00985704,72.31620808,78.69852498,80.81064031,81.17760442,72.77413658,74.9584484,77.8957134,79.59173997,78.31432458,77.8430166,79.16577328,79.1722451,82.32093265,83.3071548,75.67866225,80.48928551,78.33091775,76.58382108,80.45313005,77.85909712,77.55333935,74.8575346,79.28060273,80.40047151,79.28266181,78.45111647,75.56202877,74.8354881,77.12378339,77.17977023,75.96143473,78.71912486,78.43726978,79.71479085,80.89535624,78.6209407,78.39567305,76.87907571,79.21180365,77.36515785,78.91567831,85.2092536,78.33025189,78.47332122,74.76335643,78.05203046,78.84461731,74.38652745,74.74182717,77.45105661,79.46381061
Sub-02,2,PD,76.61174106,80.10647232,82.49420147,71.60232191,73.07267695,82.4575602,76.47852048,79.397785,78.59990593,73.85437436,82.4394705,82.53939292,82.20211247,77.71698865,75.31655886,77.58156473,81.30116538,78.4941476,78.54118718,80.52503848,84.70678762,80.52967688,82.17444367,71.54633632,77.17290707,78.69063325,71.35927337,81.834319,79.24733326,78.61593906,71.04850758,83.69535431,78.88437903,79.54604891,80.30564448,74.9755074,62.07780044,78.18378194,80.14214743,75.29934966,80.66707039,79.56547101,81.49918433,82.06367523,80.37972005,78.10705762,79.72173548,78.17851083,78.05873131,77.51494635,86.29538282,79.85148156,80.38804915,78.62617571,74.21946651,79.83700374,79.14874605,75.51089337,79.61939721,81.83684221
Sub-03,2,PD,79.58802383,80.00635102,81.75204279,71.01449736,72.29468351,81.53559711,74.16535299,78.61478994,78.40960633,73.29090694,82.42857884,81.12677716,81.56681623,74.76054524,76.45992727,78.1306872,80.06195185,77.49519278,76.94773279,78.23203018,82.4539346,81.14463638,78.99516928,74.95458396,76.5180573,78.20089967,74.81482092,79.75378143,79.2704625,78.65147963,74.73507201,80.0335791,77.5416379,78.83241405,80.22274498,71.85702987,78.26423662,78.08612917,78.68659424,76.5927532,79.44743062,79.0527499,80.29290969,83.460687,78.25153121,78.40378047,78.96295611,77.04483174,77.8866057,78.4470276,84.83053649,79.79851756,80.62285123,77.38471774,77.42943482,79.18658548,77.37056453,77.36339071,75.26428019,79.33978241
Sub-04,2,PD,78.65713074,81.08687207,81.26235796,70.1494561,71.93936006,81.45317496,75.72418524,79.64572681,77.84135806,72.90904671,77.82593358,82.27464173,80.56130287,77.73290392,76.94242268,77.67007774,80.76573109,78.416544,78.77170939,79.96981368,81.42491031,81.73876169,83.58130631,77.10791803,80.25751426,79.057932,78.5225751,80.03230868,79.52592402,78.10012881,76.92546957,85.80670353,78.11279891,79.81177666,80.42865914,78.05617021,83.81008375,80.03273428,79.06374719,78.29128465,78.82653932,78.97896919,78.58290103,82.30090462,81.1260246,78.84870127,79.89965429,81.26568449,77.75854931,78.12270627,87.69311464,79.26063508,80.80206196,75.75620251,78.80889718,78.35943884,79.82767735,80.13303141,77.86188629,81.56884459
Sub-05,2,PD,80.47938203,80.56281537,80.03269728,70.71814793,71.98167641,80.55108458,75.05242183,79.0546184,77.32957208,72.10243075,77.81100536,80.673049,79.62822946,79.56092865,76.77499145,78.96175074,80.25164157,77.60797123,78.61688302,80.80052551,81.21684163,82.0544698,82.04435152,77.04368417,80.79248181,79.10317743,78.7424416,80.73365317,79.77250025,78.91214542,77.38402196,87.69022254,80.787563,82.90839008,81.30095938,78.15587104,77.02281588,77.73431669,77.90694317,79.75517536,80.45397201,79.63036113,81.76227581,81.49499434,80.43146815,77.69440484,77.79267847,80.71964896,78.32880766,77.96757272,88.45828935,78.50148401,80.66771604,76.82907684,78.86721394,80.11345095,78.34895405,78.85213278,79.05861204,81.23200372
Sub-06,2,PD,79.48088883,78.73147367,79.81880763,70.03720323,71.682802,79.95761534,74.09588381,78.9322576,77.19647516,72.31417577,79.9092679,80.70501349,80.40719863,64.50937715,72.31970482,76.05308736,78.98729909,76.72852817,76.64232863,78.63331414,76.46127828,80.71125155,80.44407645,75.8356995,79.44470836,80.21405309,62.26929246,80.11529907,78.85353266,77.43395581,77.27489626,78.3075737,76.49774262,78.42715821,78.42399871,75.27807184,71.76162872,79.89496,77.84803286,74.91317427,78.73103032,77.93025263,80.54824449,81.18308938,77.03396862,74.67092669,74.55097099,78.82723852,77.19606259,76.75095923,84.91623181,78.85213085,78.16885388,70.67773831,78.29697285,79.26200203,73.60687864,78.87606162,75.38225902,78.22748671
Sub-01,3,PD,80.67632142,80.31310589,80.32513781,70.54107783,71.8985402,80.61967964,74.59390693,78.25967042,77.40715561,71.55745505,78.6013364,81.45326484,81.05330518,72.56176795,74.82687092,77.99361155,79.62600915,78.54027196,78.70864935,79.01846295,78.42896893,82.31358146,82.31585818,75.45349457,80.41392738,79.0664721,76.07275577,81.0079082,78.34224051,77.64973737,75.03134339,79.11032763,79.65608497,79.47641992,78.87313166,75.77799845,76.1517539,77.73193564,77.28626976,76.32938164,78.90805716,78.61742196,80.93519521,81.07067179,78.28712609,78.08971877,76.63812467,79.56722077,77.19877396,78.55478995,84.9039179,78.23533269,78.76901401,74.77296954,78.13210121,78.88123427,74.6493632,73.94176576,77.82217869,79.57201268
