Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-03,1,PD,79.04743468,80.4886771,81.91392115,70.97951749,72.39511333,81.77509577,73.98931593,78.53707046,78.44194415,73.45447883,85.03046334,81.38878312,81.66942404,75.65997751,77.06130546,78.47827982,80.40706067,77.9824666,77.31056269,78.37107541,83.50040925,82.0089338,82.40703733,75.55484754,78.32112224,78.42359797,75.97134319,79.65270595,79.37943756,79.20038769,75.19703886,83.0841457,78.89055781,79.90745881,80.53936677,72.44880608,75.58943049,78.29002553,79.33646744,77.79935666,79.33685637,79.38604544,81.10948252,84.01967155,78.93432175,79.27541353,79.40668001,77.52332793,78.48787979,78.87903355,86.96791859,80.19648043,81.20578906,78.05855219,78.38548771,79.78438934,78.22559456,77.46695786,76.77843796,79.69874925
Sub-04,1,PD,80.43653414,81.14729437,80.94384849,70.191548,71.91875884,81.50395848,74.90525853,79.44384216,78.57578724,73.20415149,78.43029952,81.94457063,81.58290988,79.8083418,77.43810022,77.89558179,81.63975501,78.81208676,78.80073051,81.32228542,81.23163112,81.77631517,81.75585352,77.46512504,80.60277973,79.55687148,79.44102777,80.32386666,79.27325709,78.46840224,76.9949814,87.3814547,78.21442403,79.81529372,80.167747,78.43327351,81.41108832,79.23721735,78.90356267,79.41541388,78.91875827,79.11131016,78.08955552,82.3643704,81.94852256,79.49559218,80.3651762,81.82411217,78.25116587,79.24423893,86.55510614,79.50709984,81.04671649,76.41615956,78.84762251,79.11015448,80.22046225,80.47062816,78.64294189,81.96719018
Sub-05,1,PD,81.16128174,80.31383192,79.9427535,70.71822115,72.03745624,80.42018113,74.74871306,79.37570245,77.46266717,72.66771412,77.84691163,81.38792586,80.28901004,82.8660674,77.17366034,79.42283435,80.24600816,78.18613251,78.14933609,81.14178848,83.83396784,83.06817272,81.28452515,77.39297373,81.74048964,79.50431253,81.63783982,80.88926255,80.31980193,78.98664312,77.63552374,89.52353558,81.25247898,83.32576928,81.2824031,78.26705422,77.59013281,77.98893392,78.52256655,79.91390702,79.80547911,80.14779701,80.86921826,81.83931995,80.84060206,78.18116338,79.95822286,80.87818659,78.80724209,77.74601632,84.92671457,79.05733338,81.08621508,77.52792041,78.81452111,80.64192776,78.71044678,79.66381346,79.42150229,81.20071908
Sub-06,1,PD,79.1143294,80.18439829,80.16952157,70.20323258,71.95150276,79.87662167,74.81162125,79.56118385,77.26377137,72.2532254,79.49376589,81.06796512,80.85101032,66.65534555,73.39508419,75.86539398,80.09420905,76.96499406,77.84447019,79.20256398,79.39569788,82.00779502,81.82586751,76.20036316,81.07611578,81.15038785,64.94211821,80.71254424,79.23440101,78.28719551,78.05378395,80.12994295,77.5770655,79.39184494,78.77194184,75.78861224,73.1643664,81.08912947,78.31000547,75.90811277,79.295737,78.32150941,81.18626862,81.26339253,77.53814514,76.03552556,76.85274071,78.9684688,78.25274527,77.23426352,86.89936514,79.22244065,78.89645111,72.43869495,79.2245532,79.82024119,74.67290291,79.15205011,75.37346638,77.90568612
Sub-01,2,PD,79.39412191,79.26887064,80.28893616,70.30773984,71.96564968,80.37765112,74.5330248,78.48490409,77.04104947,72.28890258,79.13783103,81.07051917,81.52296799,74.75797872,75.38986676,78.20978873,79.86953326,78.73989116,78.20237291,79.41192771,79.95613019,82.62641764,83.65376013,76.15790555,81.49447153,78.67614663,78.22342825,80.62377349,78.02771631,78.05013127,75.08254581,81.0810247,80.99193834,79.6945551,78.78670469,76.13352545,75.74178521,77.67969085,77.65177119,76.52384726,78.86041339,78.77639367,80.16946982,81.16486447,78.90046205,79.04791142,77.77099501,79.64395764,77.80378954,79.39959021,85.36804069,78.64482167,78.75745353,75.51082567,78.25980538,79.32469538,74.95597174,75.86995088,78.12259132,79.77577069
Sub-02,2,PD,77.04764645,80.50045,82.84006427,71.89860859,73.27591638,82.94857927,76.90777547,79.83486621,78.78907346,74.23949939,83.10136085,82.96124293,82.63941677,78.63152823,76.17840462,77.89968388,81.86386859,79.06768553,78.96943001,81.17382283,85.61457252,81.20794078,82.81064958,72.27791038,78.10125762,79.36107125,72.37976222,81.99214746,79.68830553,79.15459036,71.79335261,85.15204475,79.48177354,79.72784552,80.78383509,75.68839426,62.0121416,78.90354783,80.64738479,75.96567385,80.96017393,79.95473764,82.18307971,82.39446506,80.84760642,78.87855028,80.26965998,78.60011735,78.6474146,78.02578098,87.09805504,80.11906664,80.74991666,79.34549252,75.35175834,80.59849376,79.82403296,76.18747224,80.62740734,82.32560942
Sub-03,2,PD,79.96465777,80.3884443,81.94442765,71.06393027,72.43349336,82.04408006,74.29606292,78.8085476,78.62848337,73.49260726,83.2778772,81.38318027,81.84615586,76.24654129,76.98858772,78.24194195,80.47182089,77.90889818,77.15937933,78.56250951,83.35844956,81.63104592,79.99332204,75.68460657,77.50416067,78.45148962,76.25598204,79.72172029,79.77130922,79.09019772,75.38168145,81.70749019,77.88007623,79.24995291,80.54510269,72.56281114,78.5310027,78.40442106,79.25001309,77.51293185,79.50515366,79.38826703,80.59619161,83.76666802,78.69829785,78.97121069,79.71584176,77.48052147,78.34529411,78.88315825,85.40731335,80.05393415,81.01871753,78.0211902,78.46319108,79.7061702,78.18555238,78.13635355,76.20490201,79.64365404
Sub-04,2,PD,78.96288751,81.56566894,81.35332816,70.16411408,72.02848366,81.89788124,76.10062125,80.11193611,78.01850973,73.15521931,78.03497665,82.41795727,81.10583453,78.55384003,77.46614531,78.02240102,81.26266686,78.61886592,79.23957363,80.35092513,82.20560288,82.22301701,83.84502573,77.62027365,81.22245874,79.40909,79.66772203,80.14418372,79.76008868,78.59833128,77.36253222,86.74485916,78.31467358,80.13192591,80.7062978,78.70210614,84.57768277,80.37428137,79.57960681,78.80539068,78.8795877,79.09428832,78.84280973,82.50363807,81.48409527,79.33234825,80.88474874,81.9309599,78.22813105,78.57384341,87.38931078,79.55463838,80.95556313,76.3336101,79.11616929,78.5158559,80.57292317,80.66694285,78.35254324,81.76083496
Sub-05,2,PD,81.01117517,81.16293011,80.30712235,70.8060233,72.11431784,81.00065262,75.4072098,79.45915364,77.43745015,72.23572737,77.83637444,81.07711443,79.99274076,80.54904584,77.32369193,79.60879652,80.67056213,78.1001171,78.95078347,81.17330786,81.15961222,82.54534968,82.23077428,77.46105885,81.2958516,79.58745335,79.53716216,81.0177657,80.10083743,79.4545544,77.79817075,88.10753343,80.72079983,83.18358284,81.70449111,78.65223178,77.05316401,77.78330945,78.42687136,80.30020784,80.61972529,80.03554503,82.10649673,81.88220988,80.84145438,78.1353301,78.28369651,81.31027737,78.8352841,78.38551016,89.01650748,78.97970901,80.9403139,77.40236339,79.26254376,80.89948033,78.87729665,79.30043677,79.66639506,81.57730564
Sub-06,2,PD,79.84569411,79.01666036,80.05671197,70.04301436,71.76250591,80.33765687,74.25788348,79.120245,77.37102056,72.60265447,80.1182966,80.94483809,80.63620357,66.05351842,73.00596637,76.35512518,79.51838363,77.12382866,76.88469521,79.028069,78.21158792,81.12790846,81.16193802,76.45217712,80.17917815,80.63701318,64.07430934,80.22250773,79.22671849,78.25372957,77.89874354,79.78535826,76.16611123,78.08349533,78.76172077,75.95455766,72.69761079,80.51596112,78.33799659,76.08815582,78.63729987,78.18387178,80.96230761,81.2598384,77.30414242,75.37727547,75.63866193,79.18517054,77.81564039,77.04382807,85.31062109,79.14647305,78.41196283,71.49208142,78.40544012,79.81319454,74.51960237,79.75990879,76.30105496,78.50889856
